OrderID,OrderDate,CustomerName,Region,SalesChannel,ProductCategory,ProductName,Quantity,UnitPrice,DiscountPercent,DiscountAmount,NetTotal,PaymentMethod,SalesRep,CustomerRating
ORD10001,2025-01-01,Laura Martinez,West,Online,Clothing,Jacket,9,425.36,0.0,0.0,3828.24,Bank Transfer,Arun Prasad,2
ORD10002,2025-01-01,Meera Iyer,Central,Online,Electronics,Smartphone,4,1750.5,20.0,1400.4,5601.6,Cash,Ravi Kumar,4
ORD10003,2025-01-01,Laura Martinez,South,Phone,Clothing,Dress,1,1214.32,0.0,0.0,1214.32,Debit Card,Anjali Nair,4
ORD10004,2025-01-02,Sarah Davis,North,Phone,Electronics,Monitor,8,1438.47,0.0,0.0,11507.76,Debit Card,Pallavi Shah,4
ORD10005,2025-01-03,Sophia White,North,In-Store,Electronics,Laptop,6,818.73,0.0,0.0,4912.38,Credit Card,Vijay Anand,5
ORD10006,2025-01-03,Amit Malhotra,North,Online,Sports,Dumbbells,5,596.13,0.0,0.0,2980.65,Credit Card,Ravi Kumar,4
ORD10007,2025-01-03,Sneha Desai,North,Phone,Clothing,Sneakers,6,410.81,15.0,369.73,2095.13,Credit Card,Vijay Anand,4
ORD10008,2025-01-03,Ishita Gupta,Central,In-Store,Furniture,Desk,9,1848.53,0.0,0.0,16636.77,Cash,Sunita Rao,5
ORD10009,2025-01-04,Sanjay Kumar,Central,Phone,Sports,Tennis Racket,7,1272.14,20.0,1781.0,7123.98,Credit Card,Pallavi Shah,4
ORD10010,2025-01-04,David Wilson,East,Phone,Clothing,Jacket,9,1601.27,10.0,1441.14,12970.29,Cash,Vijay Anand,2
ORD10011,2025-01-05,John Smith,South,Phone,Groceries,Chocolate Box,5,491.1,5.0,122.78,2332.72,Credit Card,Kiran Desai,3
ORD10012,2025-01-05,Pooja Reddy,Central,Online,Sports,Yoga Mat,6,65.61,0.0,0.0,393.66,Cash,Suresh Babu,4
